number,summa,creditor_inn,debtor_inn,group_summa,Полное название,Вероятность стоп-листа,Объяснение ИИ,Телефоны,Электронные почты,Веб сайты,Название должника,Статус должника,Дата отчетности должника
237441/22/55005-ИП,642983.33,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
237392/22/55005-ИП,75938.68,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
237352/22/55005-ИП,190549.23,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
237439/22/55005-ИП,45170.65,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
237438/22/55005-ИП,26856.51,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
162169/24/55005-ИП,39194.74,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
272873/22/55005-ИП,77942.07,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
117387/23/55005-ИП,25869.04,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
110558/24/55005-ИП,244405.89,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
267050/23/55005-ИП,59022.56,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
262434/23/55005-ИП,729050.08,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
225780/24/55005-ИП,38067.93,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
225757/24/55005-ИП,132045.91,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
225748/24/55005-ИП,52756.24,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
225744/24/55005-ИП,39001.13,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
220812/24/55005-ИП,244877.38,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
289843/24/55005-ИП,126040.15,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
334448/23/55005-ИП,104170.57,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
336891/24/55005-ИП,45895.44,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
299099/23/55005-ИП,179432.91,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
61306/24/55005-ИП,50499.91,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
22223/24/55005-ИП,195554.18,5503248039,5503253800,7220541.200000001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ""",10,"Учредитель из стоп-листа, частная собственность, выручка ниже 45 млрд, нет санкций и госзакупок, деятельность не связана с атомной или спецтехникой.","['+7 381 229-34-00', '+7 381 229-33-29', '+7 381 229-32-86']","['rumyantseva_ov@omesc.ru', 'info@omesc.ru', 'cheredova_oy@omesc.ru']","[{'name': 'omesc.ru', 'url': 'http://omesc.ru'}]","ООО ""АКД""",Действующая компания,2024.0
114905/22/70005-ИП,540210.25,5407208153,7014045068,4951461.649999999,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ НОВОСИБИРСК""",10,"Учредитель из госкомпании, но нет других признаков из стоп-листа.","['+7 385 220-13-60', '+7 385 220-13-61', '+7 385 268-90-93']","['info70@mrg54.ru', 'info22@mrg54.ru', 'info54@mrg54.ru']","[{'name': 'cobra-conex.ru', 'url': 'http://cobra-conex.ru'}, {'name': 'mrg54.ru', 'url': 'http://mrg54.ru'}]","МУП БСП ""ОРИОН""",Действующая компания,2024.0
123977/22/70005-ИП,1070750.59,5407208153,7014045068,4951461.649999999,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ НОВОСИБИРСК""",10,"Учредитель из госкомпании, но нет других признаков из стоп-листа.","['+7 385 220-13-60', '+7 385 220-13-61', '+7 385 268-90-93']","['info70@mrg54.ru', 'info22@mrg54.ru', 'info54@mrg54.ru']","[{'name': 'cobra-conex.ru', 'url': 'http://cobra-conex.ru'}, {'name': 'mrg54.ru', 'url': 'http://mrg54.ru'}]","МУП БСП ""ОРИОН""",Действующая компания,2024.0
177280/22/70005-ИП,2013449.64,5407208153,7014045068,4951461.649999999,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ НОВОСИБИРСК""",10,"Учредитель из госкомпании, но нет других признаков из стоп-листа.","['+7 385 220-13-60', '+7 385 220-13-61', '+7 385 268-90-93']","['info70@mrg54.ru', 'info22@mrg54.ru', 'info54@mrg54.ru']","[{'name': 'cobra-conex.ru', 'url': 'http://cobra-conex.ru'}, {'name': 'mrg54.ru', 'url': 'http://mrg54.ru'}]","МУП БСП ""ОРИОН""",Действующая компания,2024.0
40972/23/70005-ИП,510094.19,5407208153,7014045068,4951461.649999999,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ НОВОСИБИРСК""",10,"Учредитель из госкомпании, но нет других признаков из стоп-листа.","['+7 385 220-13-60', '+7 385 220-13-61', '+7 385 268-90-93']","['info70@mrg54.ru', 'info22@mrg54.ru', 'info54@mrg54.ru']","[{'name': 'cobra-conex.ru', 'url': 'http://cobra-conex.ru'}, {'name': 'mrg54.ru', 'url': 'http://mrg54.ru'}]","МУП БСП ""ОРИОН""",Действующая компания,2024.0
40974/23/70005-ИП,816956.98,5407208153,7014045068,4951461.649999999,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ МЕЖРЕГИОНГАЗ НОВОСИБИРСК""",10,"Учредитель из госкомпании, но нет других признаков из стоп-листа.","['+7 385 220-13-60', '+7 385 220-13-61', '+7 385 268-90-93']","['info70@mrg54.ru', 'info22@mrg54.ru', 'info54@mrg54.ru']","[{'name': 'cobra-conex.ru', 'url': 'http://cobra-conex.ru'}, {'name': 'mrg54.ru', 'url': 'http://mrg54.ru'}]","МУП БСП ""ОРИОН""",Действующая компания,2024.0
26579/22/52054-ИП,56239.31,5260148520,5235006592,3861789.6200000006,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО НИЖНИЙ НОВГОРОД""",55,"Госзакупки 20%, выручка 15%, госучастие 10%, деятельность 10%.","['+7 831 464-58-36', '+7 831 243-08-04', '+7 831 457-46-00']","['info@gorod.nn.tns-e.ru', 'info@vyksa.nn.tns-e.ru', 'it@nn.tns-e.ru']","[{'name': 'ekdostavka.ru', 'url': 'http://ekdostavka.ru'}, {'name': 'nn.tns-e.ru', 'url': 'http://nn.tns-e.ru'}]","ООО ""УРЕНСКОЕ ЖКХ""",Действующая компания,2021.0
264215/23/51002-ИП,1059924.8,5190141373,5190935129,4094602.24,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ООО ""СЕВЖИЛТРЕСТ""","Юридическое лицо ликвидировано 17 января 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",2020.0
395286/24/51002-ИП,990583.93,5190141373,5190935129,4094602.24,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ООО ""СЕВЖИЛТРЕСТ""","Юридическое лицо ликвидировано 17 января 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",2020.0
395288/24/51002-ИП,961545.76,5190141373,5190935129,4094602.24,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ООО ""СЕВЖИЛТРЕСТ""","Юридическое лицо ликвидировано 17 января 2025 года
Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности",2020.0
107974/24/51001-ИП,21741.27,5190141373,5190916969,4912661.789999999,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ТСЖ ""СЕВЕРНЫЙ ПРОЕЗД""",Действующая организация,2024.0
496637/23/51001-ИП,25427.17,5190141373,5190916969,4912661.789999999,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ТСЖ ""СЕВЕРНЫЙ ПРОЕЗД""",Действующая организация,2024.0
414683/23/51001-ИП,518572.74,5190141373,5190916969,4912661.789999999,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ТСЖ ""СЕВЕРНЫЙ ПРОЕЗД""",Действующая организация,2024.0
414726/23/51001-ИП,35406.8,5190141373,5190916969,4912661.789999999,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ТСЖ ""СЕВЕРНЫЙ ПРОЕЗД""",Действующая организация,2024.0
414725/23/51001-ИП,40648.01,5190141373,5190916969,4912661.789999999,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ТСЖ ""СЕВЕРНЫЙ ПРОЕЗД""",Действующая организация,2024.0
414729/23/51001-ИП,39650.89,5190141373,5190916969,4912661.789999999,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ТСЖ ""СЕВЕРНЫЙ ПРОЕЗД""",Действующая организация,2024.0
414734/23/51001-ИП,20549.98,5190141373,5190916969,4912661.789999999,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ТСЖ ""СЕВЕРНЫЙ ПРОЕЗД""",Действующая организация,2024.0
414735/23/51001-ИП,59203.79,5190141373,5190916969,4912661.789999999,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУРМАНСКАЯ ТЭЦ""",45,"Госзакупки 20%, выручка 15%, деятельность 10%.","['+7 815 228-00-80', '+7 815 228-00-87', '+7 815 256-53-66']","['smetanina.ev@mtec.tgc1.ru', 'es@mtec.tgc1.ru', 'common@mtec.tgc1.ru']","[{'name': 'murmantec.com', 'url': 'http://murmantec.com'}]","ТСЖ ""СЕВЕРНЫЙ ПРОЕЗД""",Действующая организация,2024.0
26578/22/52054-ИП,1301327.11,5260148520,5235006592,3861789.6200000006,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО НИЖНИЙ НОВГОРОД""",55,"Госзакупки 20%, выручка 15%, госучастие 10%, деятельность 10%.","['+7 831 464-58-36', '+7 831 243-08-04', '+7 831 457-46-00']","['info@gorod.nn.tns-e.ru', 'info@vyksa.nn.tns-e.ru', 'it@nn.tns-e.ru']","[{'name': 'ekdostavka.ru', 'url': 'http://ekdostavka.ru'}, {'name': 'nn.tns-e.ru', 'url': 'http://nn.tns-e.ru'}]","ООО ""УРЕНСКОЕ ЖКХ""",Действующая компания,2021.0
26580/22/52054-ИП,192074.67,5260148520,5235006592,3861789.6200000006,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО НИЖНИЙ НОВГОРОД""",55,"Госзакупки 20%, выручка 15%, госучастие 10%, деятельность 10%.","['+7 831 464-58-36', '+7 831 243-08-04', '+7 831 457-46-00']","['info@gorod.nn.tns-e.ru', 'info@vyksa.nn.tns-e.ru', 'it@nn.tns-e.ru']","[{'name': 'ekdostavka.ru', 'url': 'http://ekdostavka.ru'}, {'name': 'nn.tns-e.ru', 'url': 'http://nn.tns-e.ru'}]","ООО ""УРЕНСКОЕ ЖКХ""",Действующая компания,2021.0
26571/22/52054-ИП,695966.74,5260148520,5235006592,3861789.6200000006,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТНС ЭНЕРГО НИЖНИЙ НОВГОРОД""",55,"Госзакупки 20%, выручка 15%, госучастие 10%, деятельность 10%.","['+7 831 464-58-36', '+7 831 243-08-04', '+7 831 457-46-00']","['info@gorod.nn.tns-e.ru', 'info@vyksa.nn.tns-e.ru', 'it@nn.tns-e.ru']","[{'name': 'ekdostavka.ru', 'url': 'http://ekdostavka.ru'}, {'name': 'nn.tns-e.ru', 'url': 'http://nn.tns-e.ru'}]","ООО ""УРЕНСКОЕ ЖКХ""",Действующая компания,2021.0
